iter,train-flag_sum,train-len_mean,train-len_std,train-rew_max,train-rew_maxID,train-rew_mean,train-rew_min,train-rew_minID,train-rew_std,train-x_max,train-x_maxID,train-x_mean,train-x_min,train-x_minID,train-x_std
0,0,586.35,707.6202565642112,418.0,10,140.05,-165.0,16,142.69915031281724,528,10,311.35,159,9,110.19994328492189
25,0,67.5,16.812197952677096,392.0,15,259.1,202.0,11,50.01389806843694,468,15,328.0,272,11,51.86231772684287
50,0,104.65,72.10982942706217,785.0,14,317.9,156.0,19,135.98819801732796,904,14,394.1,228,19,149.36361672107435
75,0,190.25,164.52442827738378,1001.0,17,423.6,174.0,4,240.6317518533246,1170,17,516.9,247,4,272.2862280762654
100,0,132.55,92.23094654181969,875.0,18,390.9,201.0,4,206.8136600904302,993,18,472.8,270,4,224.65186400295013
125,0,113.0,81.0345605282092,936.0,19,368.0,199.0,3,204.86239283968152,1060,19,446.25,272,3,220.4370374959707
150,0,162.25,86.59842666007276,874.0,12,444.5,189.0,0,194.51053956019967,988,12,532.8,259,0,211.15150958494235
175,0,161.2,82.41395512897073,778.0,9,468.7,231.0,5,185.93549956907097,889,9,556.2,302,5,201.30986066261136
200,0,120.45,51.25765796444469,799.0,7,411.85,227.0,3,158.1974320271982,896,7,491.05,295,3,167.92452917903327
225,0,185.45,67.21195950126733,785.0,15,565.35,246.0,11,151.7100112055892,887,15,657.7,313,11,163.6157388517376
250,0,176.0,74.95065043080014,1389.0,11,611.3,372.0,14,230.20254125443532,1516,11,701.6,449,4,244.06195934639217
275,0,188.65,76.61284161287846,1394.0,10,658.6,235.0,0,243.59831690715762,1525,10,751.95,302,0,258.29449761851293
300,0,219.35,104.3562528073905,905.0,16,645.15,512.0,5,119.32907231684993,1034,16,744.6,596,5,137.0045254727011
325,0,239.4,65.12787421680521,1405.0,8,778.45,519.0,0,215.57817027704823,1525,8,882.0,604,0,225.74033755622852
350,0,217.8,83.10451251285936,1032.0,13,718.95,547.0,7,125.51951043562909,1183,13,817.35,629,7,138.88746343712955
375,0,215.2,47.53588118463778,1382.0,7,772.1,440.0,19,200.6329733618081,1507,7,870.4,530,19,208.58724793237002
400,0,204.2,63.11307313069139,1431.0,13,804.6,252.0,8,328.6331389254589,1547,13,901.0,318,8,339.8755654647742
425,0,238.35,69.11676714083205,1415.0,8,1025.4,351.0,0,305.0608791700437,1538,8,1129.1,424,0,317.5433671169971
